"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6J,C57BL/6J_SE,A/J,A/J_SE,ABF1,ABF1_SE,BAF1,BAF1_SE,AXB1,AXB1_SE,AXB2,AXB2_SE,AXB3,AXB3_SE,AXB4,AXB4_SE,AXB5,AXB5_SE,AXB6,AXB6_SE,AXB7,AXB7_SE,AXB8,AXB8_SE,AXB9,AXB9_SE,AXB10,AXB10_SE,AXB11,AXB11_SE,AXB12,AXB12_SE,AXB13/14,AXB13/14_SE,AXB15,AXB15_SE,AXB17,AXB17_SE,AXB18/19/20,AXB18/19/20_SE,AXB21,AXB21_SE,AXB23,AXB23_SE,AXB24,AXB24_SE,BXA1,BXA1_SE,BXA2,BXA2_SE,BXA4,BXA4_SE,BXA7,BXA7_SE,BXA8/17,BXA8/17_SE,BXA11,BXA11_SE,BXA12,BXA12_SE,BXA13,BXA13_SE,BXA14,BXA14_SE,BXA16,BXA16_SE,BXA18,BXA18_SE,BXA20,BXA20_SE,BXA22,BXA22_SE,BXA23,BXA23_SE,BXA24,BXA24_SE,BXA25,BXA25_SE,BXA26,BXA26_SE
14,https://genenetwork.org/show_trait?trait_id=1415876_a_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1415876_a_at,Rps26,40S ribosomal protein S26 (type I diabetes); exons 1 and 2 (confirmed),exons 1 and 2 (confirmed),N/A,10,128.625266,Not available,27370,N/A,Mm.261679,-,1.010638298,190.0,128.625266,128.626218,,,rs3693437,13.7393984203602,0.374,13.866381054832821,13.807,0.051619,13.903,0.051698,x,x,x,x,x,x,13.781,0.029606,x,x,x,x,13.996,,13.95,0.057229,x,x,13.734,0.146371,x,x,13.916,0.191626,x,x,13.862,0.03677,x,x,13.982,0.022106,x,x,13.852,0.031912,x,x,x,x,x,x,13.746,,13.913,0.040305,13.929,0.015122,13.862,0.02902,x,x,13.807,0.017678,x,x,x,x,13.912,0.02786,13.833,0.008031,x,x,x,x,x,x,x,x,13.777,0.100409,13.938,,x,x
15,https://genenetwork.org/show_trait?trait_id=1430332_a_at_A&dataset=GSE16780AB_UCLA_ML0911,mouse,AXBXA,GSE16780AB_UCLA_ML0911,1430332_a_at_A,Gusb,"glucuronidase, beta; exons 2 and 4",exons 2 and 4,N/A,5,129.999926,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,,-,7.9,158.0,129.999926,130.000793,X,7.360055,DXMit55,11.0746019948774,,6.72267861025674,6.655,0.172,6.747,0.045,x,x,x,x,6.833,0.14,6.8,0.022,x,x,6.804,0.108,6.486,0.066,6.507,0.043,x,x,6.743,0.076,x,x,6.638,0.028,x,x,6.411,0.097,6.691,0.177,6.564,0.089,x,x,6.754,0.08,x,x,6.625,0.128,6.758,0.187,6.541,,6.933,0.177,6.815,0.164,6.716,0.084,6.88,0.126,6.785,0.047,6.713,0.158,6.822,0.255,6.953,0.334,6.738,0.133,x,x,x,x,x,x,x,x,6.655,0.106,6.951,0.154,6.717,0.184
16,https://genenetwork.org/show_trait?trait_id=1430332_a_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1430332_a_at,Gusb,"glucuronidase, beta; exons 2 and 4",exons 2 and 4,N/A,5,129.999926,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,,-,7.9,158.0,129.999926,130.000793,10,19.098322,rs13480526,8.85552586388947,0.866,6.680180981045678,6.952,0.056034,6.4883,0.080642,x,x,x,x,x,x,6.656,0.020774,x,x,x,x,6.5075,0.108887,6.654,0.126339,x,x,6.578,0.11738,x,x,6.57,0.407294,x,x,6.7298,0.057703,x,x,6.7015,0.047695,x,x,6.6693,0.055148,x,x,x,x,x,x,6.734,,6.7283,0.064442,6.6563,0.107317,6.689,0.063498,x,x,6.6527,0.086702,x,x,x,x,6.818,0.226566,6.4293,0.016753,x,x,x,x,x,x,x,x,6.877,0.17142,6.812,,x,x
17,https://genenetwork.org/show_trait?trait_id=1430332_a_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1430332_a_at,Gusb,"glucuronidase, beta; exons 2 and 4",exons 2 and 4,N/A,5,129.999926,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,,-,7.9,158.0,129.999926,130.000793,8,105.860213,rs3705275,11.0071091625296,0.581,8.205857072557722,7.74,0.084146,8.727,0.273588,x,x,x,x,x,x,7.33,0.163405,x,x,x,x,8.78,,8.739,0.127656,x,x,7.965,0.239002,x,x,7.926,0.280014,x,x,7.739,0.216375,x,x,7.73,0.194804,x,x,7.896,0.116009,x,x,x,x,x,x,8.583,,8.525,0.319612,8.15,0.30624,8.193,0.242868,x,x,7.796,0.092631,x,x,x,x,8.372,0.112756,8.11,0.211901,x,x,x,x,x,x,x,x,8.57,0.140714,9.299,,x,x
18,https://genenetwork.org/show_trait?trait_id=1422562_at_A&dataset=GSE16780AB_UCLA_ML0911,mouse,AXBXA,GSE16780AB_UCLA_ML0911,1422562_at_A,Rrad,Ras-related associated with diabetes; last exon and 3' UTR,last exon and 3' UTR,N/A,8,104.628118,"REM3, Rad",56437,N/A,Mm.29467,-,12.1,242.0,104.628118,104.628628,,,rs13482845,10.9315253246578,,6.508964266095843,6.478,0.048,6.376,0.039,x,x,x,x,6.372,0.042,6.496,0.032,x,x,6.659,0.089,6.528,0.026,6.485,0.132,x,x,6.487,0.095,x,x,6.511,0.099,x,x,6.554,0.083,6.519,0.052,6.505,0.075,x,x,6.509,0.029,x,x,6.549,0.047,6.636,0.105,6.582,,6.393,0.031,6.503,0.034,6.52,0.011,6.488,0.027,6.567,0.11,6.403,0.01,6.557,0.116,6.513,0.079,6.542,0.134,x,x,x,x,x,x,x,x,6.441,0.034,6.467,0.106,6.611,0.105
19,https://genenetwork.org/show_trait?trait_id=1422562_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1422562_at,Rrad,Ras-related associated with diabetes; last exon and 3' UTR,last exon and 3' UTR,N/A,8,104.628118,"REM3, Rad",56437,N/A,Mm.29467,-,12.1,242.0,104.628118,104.628628,2,173.100191,rs13476925,9.40773287699215,0.894,8.833747636704217,8.6232,0.479558,9.2257,0.224273,x,x,x,x,x,x,8.2663,0.339392,x,x,x,x,9.3588,0.205262,9.2943,0.828002,x,x,9.1015,1.0147,x,x,8.184,0.258801,x,x,9.1303,0.658202,x,x,8.6393,0.591477,x,x,8.9276,0.339785,x,x,x,x,x,x,8.378,,9.623,0.147032,9.811,0.405226,7.6846,0.337456,x,x,8.1215,0.21766,x,x,x,x,8.8495,0.54048,8.2953,0.19969,x,x,x,x,x,x,x,x,9.479,0.146373,8.185,,x,x
20,https://genenetwork.org/show_trait?trait_id=1422562_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1422562_at,Rrad,Ras-related associated with diabetes; last exon and 3' UTR,last exon and 3' UTR,N/A,8,104.628118,"REM3, Rad",56437,N/A,Mm.29467,-,12.1,242.0,104.628118,104.628628,9,112.348335,rs3665498,10.6736612310184,0.599,6.420333340054467,6.348,0.156271,6.348,0.082421,x,x,x,x,x,x,6.173,0.050532,x,x,x,x,6.666,,6.302,0.072334,x,x,6.435,0.050205,x,x,6.511,0.071418,x,x,6.254,0.113137,x,x,6.279,0.064235,x,x,6.372,0.050091,x,x,x,x,x,x,6.48,,6.474,0.130815,6.567,0.049965,6.505,0.16785,x,x,6.468,0.004243,x,x,x,x,6.478,0.123581,6.43,0.08076,x,x,x,x,x,x,x,x,6.477,0.019092,6.549,,x,x
21,https://genenetwork.org/show_trait?trait_id=1417395_at_A&dataset=GSE16780AB_UCLA_ML0911,mouse,AXBXA,GSE16780AB_UCLA_ML0911,1417395_at_A,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor); mid 3' UTR",mid 3' UTR,N/A,4,55.527985,"EZF, Gklf, Zie",16600,N/A,Mm.4325,-,1.3519553072625698,242.0,55.527985,55.527986,12,106.289456,rs13481628,10.5690658750547,,6.416821428707668,6.56,0.077,6.276,0.064,x,x,x,x,6.347,0.125,6.218,0.068,x,x,6.325,0.12,6.835,0.0,6.584,0.132,x,x,6.368,0.123,x,x,6.305,0.006,x,x,6.41,0.103,6.415,0.086,6.517,0.132,x,x,6.392,0.023,x,x,6.56,0.042,6.399,0.081,6.288,,6.501,0.036,6.279,0.131,6.358,0.044,6.293,0.076,6.535,0.114,6.367,0.089,6.28,0.038,6.455,0.04,6.506,0.168,x,x,x,x,x,x,x,x,6.398,0.065,6.493,0.048,6.407,0.107
22,https://genenetwork.org/show_trait?trait_id=1417395_at&dataset=UCLA_AXB_BXA_Aor_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Aor_Jan16,1417395_at,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor); mid 3' UTR",mid 3' UTR,N/A,4,55.527985,"EZF, Gklf, Zie",16600,N/A,Mm.4325,-,1.3519553069999999,242.0,55.527985,55.527986,5,34.045792,Adra2c,10.4422611928455,0.798,10.11275236947196,9.9133,0.165343,9.5987,0.33056,x,x,x,x,x,x,10.0373,0.082623,x,x,x,x,10.4565,0.284969,9.814,0.143002,x,x,10.4545,0.221324,x,x,9.7605,0.180312,x,x,10.373,0.403847,x,x,10.1198,0.259578,x,x,9.9908,0.084694,x,x,x,x,x,x,10.34,,10.1968,0.118438,9.692,0.111006,9.8654,0.075042,x,x,9.9858,0.226636,x,x,x,x,9.748,0.186179,9.9493,0.233534,x,x,x,x,x,x,x,x,10.655,0.167663,10.461,,x,x
23,https://genenetwork.org/show_trait?trait_id=1417395_at&dataset=UCLA_AXB_BXA_Liv_Jan16,mouse,AXBXA,UCLA_AXB_BXA_Liv_Jan16,1417395_at,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor); mid 3' UTR",mid 3' UTR,N/A,4,55.527985,"EZF, Gklf, Zie",16600,N/A,Mm.4325,-,1.3519553069999999,242.0,55.527985,55.527986,5,4.4682,rs3664617,13.3290978468507,0.292,7.062428497132801,6.959,0.060104,6.975,0.062231,x,x,x,x,x,x,6.83,0.121681,x,x,x,x,7.271,,7.095,0.112433,x,x,6.759,0.263751,x,x,7.121,0.135057,x,x,7.179,0.101823,x,x,7.267,0.120214,x,x,7.022,0.05193,x,x,x,x,x,x,7.285,,7.023,0.032527,7.034,0.02572,7.045,0.065599,x,x,6.833,0.09051,x,x,x,x,7.194,0.067761,7.071,0.043083,x,x,x,x,x,x,x,x,6.99,0.17607,7.394,,x,x
24,https://genenetwork.org/show_trait?trait_id=1421509_at_A&dataset=GSE16780AB_UCLA_ML0911,mouse,AXBXA,GSE16780AB_UCLA_ML0911,1421509_at_A,Sorcs1,VPS10 domain receptor protein SORCS 1 (type 2 diabetes); proximal 3' UTR,proximal 3' UTR,N/A,19,50.15042,"Sorcs, T2dm2",58178,N/A,Mm.313672,-,12.05,241.0,50.15042,50.150871,6,94.25548,gnf06.093.201,11.8607787614006,,6.4250714268003195,6.394,0.066,6.434,0.044,x,x,x,x,6.414,0.064,6.486,0.126,x,x,6.422,0.064,6.393,0.041,6.463,0.102,x,x,6.312,0.018,x,x,6.467,0.046,x,x,6.397,0.108,6.399,0.035,6.337,0.069,x,x,6.393,0.029,x,x,6.412,0.038,6.386,0.099,6.535,,6.333,0.033,6.498,0.063,6.36,0.014,6.495,0.07,6.474,0.148,6.489,0.037,6.454,0.066,6.396,0.034,6.512,0.137,x,x,x,x,x,x,x,x,6.371,0.083,6.557,0.091,6.319,0.019
