"Export Date: December 11, 2024"
Export Time: 12:36 GMT
Exported Row Number: 10000
"Funding for The GeneNetwork: NIGMS (R01 GM123489, 2017-2026), NIDA (P30 DA044223, 2017-2022), NIA (R01AG043930, 2013-2018), NIAAA (U01 AA016662, U01 AA013499, U24 AA013513, U01 AA014425, 2006-2017), NIDA/NIMH/NIAAA (P20-DA 21131, 2001-2012), NCI MMHCC (U01CA105417), NCRR/BIRN (U24 RR021760)"

Index,URL,Species,Group,Dataset,Record ID,Symbol,Description,ProbeTarget,PubMed_ID,Chr,Mb,Alias,Gene_ID,Homologene_ID,UniGene_ID,Strand_Probe,Probe_set_specificity,Probe_set_BLAT_score,Probe_set_BLAT_Mb_start,Probe_set_BLAT_Mb_end,QTL_Chr,QTL_Mb,Locus_at_Peak,Max_LRS,P_value_of_MAX,Mean_Expression,C57BL/6J,C57BL/6J_SE,C3H/HeJ,C3H/HeJ_SE,BHF1,BHF1_SE,HBF1,HBF1_SE,BXH2,BXH2_SE,BXH3,BXH3_SE,BXH4,BXH4_SE,BXH6,BXH6_SE,BXH7,BXH7_SE,BXH8,BXH8_SE,BXH9,BXH9_SE,BXH10,BXH10_SE,BXH11,BXH11_SE,BXH12,BXH12_SE,BXH14,BXH14_SE,BXH19,BXH19_SE,BXH20,BXH20_SE,BXH21,BXH21_SE,BXH22,BXH22_SE,B6cC3-1,B6cC3-1_SE
11,https://genenetwork.org/show_trait?trait_id=1430332_a_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1430332_a_at_A,Gusb,"glucuronidase, beta; exons 2 and 4",exons 2 and 4,N/A,5,129.999926,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,,-,7.9,158.0,129.999926,130.000793,,,rs3675638,20.064447236097298,,6.69878567968096,6.655,0.172,6.542,0.072,x,x,x,x,6.877,0.174,x,x,6.856,0.094,6.7,0.135,6.623,0.148,6.804,0.057,6.78,0.103,6.842,0.026,x,x,x,x,6.587,0.121,6.625,0.093,6.613,0.054,6.607,0.051,x,x,6.672,0.03
12,https://genenetwork.org/show_trait?trait_id=1422562_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1422562_at_A,Rrad,Ras-related associated with diabetes; last exon and 3' UTR,last exon and 3' UTR,N/A,8,104.628118,"REM3, Rad",56437,N/A,Mm.29467,-,12.1,242.0,104.628118,104.628628,6,54.130744,rs6272774,8.069236098813871,,6.575500011444092,6.478,0.048,6.608,0.081,x,x,x,x,6.552,0.029,x,x,6.548,0.157,6.38,0.032,6.489,0.015,6.4,0.032,6.579,0.101,6.52,0.161,x,x,x,x,6.467,0.05,6.446,0.114,7.498,1.621,6.596,0.056,x,x,6.496,0.079
13,https://genenetwork.org/show_trait?trait_id=1417395_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1417395_at_A,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor); mid 3' UTR",mid 3' UTR,N/A,4,55.527985,"EZF, Gklf, Zie",16600,N/A,Mm.4325,-,1.3519553072625698,242.0,55.527985,55.527986,,,rs13478761,10.421972930639898,,6.415000029972622,6.56,0.077,6.472,0.031,x,x,x,x,6.629,0.019,x,x,6.295,0.137,6.298,0.013,6.302,0.055,6.336,0.064,6.348,0.024,6.488,0.088,x,x,x,x,6.564,0.082,6.32,0.053,6.536,0.155,6.302,0.042,x,x,6.36,0.086
14,https://genenetwork.org/show_trait?trait_id=1421509_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1421509_at_A,Sorcs1,VPS10 domain receptor protein SORCS 1 (type 2 diabetes); proximal 3' UTR,proximal 3' UTR,N/A,19,50.15042,"Sorcs, T2dm2",58178,N/A,Mm.313672,-,12.05,241.0,50.15042,50.150871,3,150.736356,rs13477491,18.6469380171906,,6.428000007356916,6.394,0.066,6.489,0.092,x,x,x,x,6.402,0.086,x,x,6.381,0.066,6.454,0.168,6.354,0.08,6.367,0.03,6.35,0.043,6.405,0.022,x,x,x,x,6.503,0.067,6.391,0.06,6.56,0.441,6.517,0.06,x,x,6.425,0.059
15,https://genenetwork.org/show_trait?trait_id=ILM4280129&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM4280129,Rrad,Ras-related associated with diabetes; exon 5,exon 5,N/A,8,104.628493,"RAD, RAD1, REM3, Rad",56437,N/A,Mm.29467,-,5.0,50.0,104.628493,104.628543,11,6.25367,rs3670360,11.011571867490701,0.857,11.768885518814816,13.3849,,12.8755,,x,x,x,x,10.9792,,x,x,12.1556,,12.8345,,7.83789,,9.92615,,10.824,,x,x,x,x,x,x,13.0918,,12.4145,,x,x,x,x,11.8401,,13.194,
16,https://genenetwork.org/show_trait?trait_id=ILM4280129&dataset=UCLA_BXHBXD_CARTILAGE,mouse,BXH,UCLA_BXHBXD_CARTILAGE,ILM4280129,Rrad,Ras-related associated with diabetes; exon 5,exon 5,N/A,8,104.628493,"RAD, RAD1, REM3, Rad",56437,N/A,Mm.29467,-,5.0,50.0,104.628493,104.628543,6,3.416869,rs3661828,11.863775585901799,0.691,9.871818688639998,10.6748,,10.214,,x,x,x,x,8.74187,,x,x,9.63471,,10.0486,,x,x,8.40254,,8.56358,,x,x,x,x,x,x,10.4938,,9.78339,,x,x,x,x,9.23859,,10.6101,
17,https://genenetwork.org/show_trait?trait_id=ILM4280129&dataset=UCLA_BXH_CARTILAGE,mouse,BXH,UCLA_BXH_CARTILAGE,ILM4280129,Rrad,Ras-related associated with diabetes; exon 5,exon 5,N/A,8,104.628493,"RAD, RAD1, REM3, Rad",56437,N/A,Mm.29467,-,5.0,50.0,104.628493,104.628543,,,,,,10.027827903499999,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
18,https://genenetwork.org/show_trait?trait_id=ILM5220278&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM5220278,Irgc1,"immunity-related GTPase family, cinema 1; exon 3",exon 3,N/A,7,24.432309,"F630044M05Rik, Gm1102, Gm474, Iigp5",210145,N/A,Mm.33811,-,5.0,50.0,24.432309,24.432359,4,129.607839,rs3661158,10.057201513298,0.194,6.820132258370371,6.72833,,6.67422,,x,x,x,x,6.15085,,x,x,6.75769,,7.26313,,7.02078,,6.58554,,6.77067,,x,x,x,x,x,x,6.34722,,6.83663,,x,x,x,x,7.15748,,6.66434,
19,https://genenetwork.org/show_trait?trait_id=ILM5220278&dataset=UCLA_BXHBXD_CARTILAGE,mouse,BXH,UCLA_BXHBXD_CARTILAGE,ILM5220278,Irgc1,"immunity-related GTPase family, cinema 1; exon 3",exon 3,N/A,7,24.432309,"F630044M05Rik, Gm1102, Gm474, Iigp5",210145,N/A,Mm.33811,-,5.0,50.0,24.432309,24.432359,4,129.607839,rs3661158,9.669944124567671,0.426,7.950781956999997,7.955,,7.94488,,x,x,x,x,7.90872,,x,x,7.96272,,8.00535,,x,x,7.93132,,7.95665,,x,x,x,x,x,x,7.92065,,7.9639,,x,x,x,x,7.99695,,7.94869,
20,https://genenetwork.org/show_trait?trait_id=ILM5220278&dataset=UCLA_BXH_CARTILAGE,mouse,BXH,UCLA_BXH_CARTILAGE,ILM5220278,Irgc1,"immunity-related GTPase family, cinema 1; exon 3",exon 3,N/A,7,24.432309,"F630044M05Rik, Gm1102, Gm474, Iigp5",210145,N/A,Mm.33811,-,5.0,50.0,24.432309,24.432359,,,,,,7.948193926857142,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
21,https://genenetwork.org/show_trait?trait_id=1423529_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1423529_at_A,G6pc2,"glucose-6-phosphatase, catalytic, 2 (pancreatic, autoimmunity, diabetes associated); distal 3' UTR",distal 3' UTR,N/A,2,69.227347,"G6pc-rs, IGRP",14378,N/A,Mm.140768,+,12.35,247.0,69.227347,69.227823,,,rs3716179,13.4956797837454,,6.199214220046997,6.194,0.07,6.186,0.048,x,x,x,x,6.206,0.056,x,x,6.163,0.128,6.219,0.153,6.27,0.064,6.151,0.021,6.212,0.027,6.184,0.028,x,x,x,x,6.233,0.047,6.229,0.061,6.094,0.163,6.276,0.105,x,x,6.172,0.042
22,https://genenetwork.org/show_trait?trait_id=ILM7160053&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM7160053,Gusb,"glucuronidase, beta; exon 9",exon 9,N/A,5,130.280209,"AI747421, FLJ39445, Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, MPS7, asd, g",110006,N/A,Mm.3317,,,0.0,130.280209,130280209.0,5,91.750765,rs13478392,8.970991212503401,0.029,9.10315724266667,9.00368,,8.9824,,x,x,x,x,9.44901,,x,x,9.81001,,9.11426,,8.25228,,9.59185,,10.3718,,x,x,x,x,x,x,9.13708,,9.54774,,x,x,x,x,9.53744,,9.11483,
23,https://genenetwork.org/show_trait?trait_id=ILM7160053&dataset=UCLA_BXHBXD_CARTILAGE,mouse,BXH,UCLA_BXHBXD_CARTILAGE,ILM7160053,Gusb,"glucuronidase, beta; exon 9",exon 9,N/A,5,130.280209,"AI747421, FLJ39445, Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, MPS7, asd, g",110006,N/A,Mm.3317,,,0.0,130.280209,130280209.0,11,4.50873,rs3659787,9.49858772035868,0.192,8.152627575079999,8.1249,,8.11922,,x,x,x,x,8.19543,,x,x,8.23665,,8.20879,,x,x,8.28201,,8.35115,,x,x,x,x,x,x,8.13824,,8.23355,,x,x,x,x,8.20299,,8.13459,
24,https://genenetwork.org/show_trait?trait_id=ILM7160053&dataset=UCLA_BXH_CARTILAGE,mouse,BXH,UCLA_BXH_CARTILAGE,ILM7160053,Gusb,"glucuronidase, beta; exon 9",exon 9,N/A,5,130.280209,"AI747421, FLJ39445, Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, MPS7, asd, g",110006,N/A,Mm.3317,,,0.0,130.280209,130280209.0,,,,,,8.113439992642858,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
25,https://genenetwork.org/show_trait?trait_id=ILM4280129&dataset=UCLA_BXH_Femur_0113_RSN,mouse,BXH,UCLA_BXH_Femur_0113_RSN,ILM4280129,Rrad,Ras-related associated with diabetes; exon 5,exon 5,N/A,8,104.628493,"RAD, RAD1, REM3, Rad",56437,N/A,Mm.29467,-,5.0,50.0,104.628493,104.628543,3,150.736356,rs13477491,6.66361378250968,,7.773928540093558,7.676,0.093,7.844,0.015,x,x,x,x,7.79,0.027,x,x,7.746,0.12,7.711,0.091,7.678,0.064,7.742,0.094,7.694,0.038,7.645,0.006,x,x,x,x,8.488,0.177,7.65,0.05,7.711,0.099,x,x,7.823,0.238,7.637,
26,https://genenetwork.org/show_trait?trait_id=1448124_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1448124_at_A,Gusb,"glucuronidase, beta; last exon and 3' UTR",last exon and 3' UTR,N/A,5,129.989167,"Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, asd, g",110006,N/A,Mm.3317,-,11.35,227.0,129.989167,129.989593,X,93.378514,gnfX.080.189,7.44277930819972,,9.171499933515276,9.564,0.186,9.124,0.197,x,x,x,x,9.37,0.112,x,x,9.231,0.037,9.29,0.176,9.203,0.02,9.127,0.117,9.321,0.109,9.322,0.121,x,x,x,x,9.16,0.135,9.007,0.046,8.314,1.568,9.234,0.12,x,x,9.134,0.136
27,https://genenetwork.org/show_trait?trait_id=ILM5220278&dataset=UCLA_BXH_Femur_0113_RSN,mouse,BXH,UCLA_BXH_Femur_0113_RSN,ILM5220278,Irgc1,"immunity-related GTPase family, cinema 1; exon 3",exon 3,N/A,7,24.432309,"F630044M05Rik, Gm1102, Gm474, Iigp5",210145,N/A,Mm.33811,-,5.0,50.0,24.432309,24.432359,7,16.780331,mCV22975338,21.817010770971198,,7.274642842156546,7.153,0.063,7.564,0.013,x,x,x,x,7.252,0.001,x,x,7.562,0.075,7.238,0.059,7.229,0.027,7.212,0.082,7.15,0.025,7.249,0.066,x,x,x,x,7.071,0.11,7.102,0.144,7.573,0.008,x,x,7.437,0.033,7.053,
28,https://genenetwork.org/show_trait?trait_id=ILM4810239&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM4810239,Isl1,"ISL1 transcription factor, LIM/homeodomain (diabetes-associated); mid 3' UTR",mid 3' UTR,N/A,13,116.298629,"Isl-1, ISL1",16392,N/A,Mm.42242,-,5.0,50.0,116.298629,116.298679,3,135.276629,rs13477428,10.662389777638,0.654,7.2104466628518535,7.058,,7.06573,,x,x,x,x,6.79362,,x,x,6.32991,,6.80424,,7.91116,,6.82693,,6.20035,,x,x,x,x,x,x,6.90199,,6.12772,,x,x,x,x,6.74179,,6.8993,
29,https://genenetwork.org/show_trait?trait_id=ILM4810239&dataset=UCLA_BXHBXD_CARTILAGE,mouse,BXH,UCLA_BXHBXD_CARTILAGE,ILM4810239,Isl1,"ISL1 transcription factor, LIM/homeodomain (diabetes-associated); mid 3' UTR",mid 3' UTR,N/A,13,116.298629,"Isl-1, ISL1",16392,N/A,Mm.42242,-,5.0,50.0,116.298629,116.298679,,,rs3711100,14.2051981629188,0.603,7.980990052399999,7.99946,,7.98998,,x,x,x,x,7.9651,,x,x,7.93468,,7.95975,,x,x,7.9539,,7.92986,,x,x,x,x,x,x,7.97595,,7.90225,,x,x,x,x,7.96202,,7.97191,
30,https://genenetwork.org/show_trait?trait_id=ILM4810239&dataset=UCLA_BXH_CARTILAGE,mouse,BXH,UCLA_BXH_CARTILAGE,ILM4810239,Isl1,"ISL1 transcription factor, LIM/homeodomain (diabetes-associated); mid 3' UTR",mid 3' UTR,N/A,13,116.298629,"Isl-1, ISL1",16392,N/A,Mm.42242,-,5.0,50.0,116.298629,116.298679,,,,,,7.998563917642857,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
31,https://genenetwork.org/show_trait?trait_id=1417394_at_A&dataset=GSE16780BXH_UCLA_ML0911,mouse,BXH,GSE16780BXH_UCLA_ML0911,1417394_at_A,Klf4,"Kruppel-like factor 4 (epithelial zinc finger protein of gut, Yamanaka factor); mid 3' UTR",mid 3' UTR,N/A,4,55.527415,"EZF, Gklf, Zie, EZF, GKLF, KLF4",16600,N/A,Mm.4325,-,1.0541871921182302,214.0,55.527415,55.527727,,,rs13476330,6.94356991457658,,6.506357090813773,6.568,0.174,6.474,0.052,x,x,x,x,6.819,0.04,x,x,6.595,0.092,6.492,0.015,6.371,0.008,6.466,0.045,6.55,0.03,6.515,0.117,x,x,x,x,6.444,0.091,6.416,0.039,6.376,0.172,6.517,0.075,x,x,6.486,0.083
32,https://genenetwork.org/show_trait?trait_id=ILM7160053&dataset=UCLA_BXH_Femur_0113_RSN,mouse,BXH,UCLA_BXH_Femur_0113_RSN,ILM7160053,Gusb,"glucuronidase, beta; exon 9",exon 9,N/A,5,130.280209,"AI747421, FLJ39445, Gur, Gus, Gus-r, Gus-s, Gus-t, Gus-u, Gut, MPS7, asd, g",110006,N/A,Mm.3317,,,0.0,130.280209,130280209.0,,,rs13476083,9.38031686924519,,8.547928537641253,8.567,0.247,8.314,0.285,x,x,x,x,9.252,0.503,x,x,8.416,0.33,8.578,0.32,8.766,0.301,8.747,0.095,8.404,0.36,8.596,0.107,x,x,x,x,8.57,0.049,8.709,0.281,8.28,0.238,x,x,8.366,0.262,8.106,
33,https://genenetwork.org/show_trait?trait_id=ILM4810239&dataset=UCLA_BXH_Femur_0113_RSN,mouse,BXH,UCLA_BXH_Femur_0113_RSN,ILM4810239,Isl1,"ISL1 transcription factor, LIM/homeodomain (diabetes-associated); mid 3' UTR",mid 3' UTR,N/A,13,116.298629,"Isl-1, ISL1",16392,N/A,Mm.42242,-,5.0,50.0,116.298629,116.298679,3,90.564823,UT_2_93.461287,10.0044483886892,,7.748214278902326,7.761,0.099,7.457,0.455,x,x,x,x,7.73,0.017,x,x,7.718,0.14,7.626,0.1,7.77,0.003,7.666,0.043,7.58,0.047,8.012,0.218,x,x,x,x,7.724,0.094,7.53,0.112,7.77,0.105,x,x,7.772,0.224,8.359,
34,https://genenetwork.org/show_trait?trait_id=ILM2260047&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM2260047,Irgq,"immunity-related GTPase family, Q; 3' UTR",3' UTR,N/A,7,24.538391,"AF322649, FKSG27, IRGQ1, Irgq1",210146,N/A,Mm.41108,+,5.0,50.0,24.538391,24.538441,9,69.208271,D9Mit289,14.150401858404399,0.036,9.372076436851854,9.29697,,9.19459,,x,x,x,x,10.1743,,x,x,10.7723,,10.7187,,10.6427,,9.67381,,10.2302,,x,x,x,x,x,x,9.55676,,10.083,,x,x,x,x,10.3385,,9.18797,
35,https://genenetwork.org/show_trait?trait_id=ILM5900050&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM5900050,Irgq,"immunity-related GTPase family, Q; 3' UTR",3' UTR,N/A,7,24.534619,"AF322649, FKSG27, IRGQ1, Irgq1",210146,N/A,Mm.41108,+,5.0,50.0,24.534619,24.534669,16,34.000862,rs4171718,14.637059023818802,0.134,7.741726088407406,8.1006,,8.30025,,x,x,x,x,8.01011,,x,x,7.61348,,7.72938,,8.38498,,7.41888,,7.8113,,x,x,x,x,x,x,8.05233,,8.22756,,x,x,x,x,8.38782,,7.30623,
36,https://genenetwork.org/show_trait?trait_id=ILM4200575&dataset=UCLA_BXHBXD_CARTILAGE_V2,mouse,BXH,UCLA_BXHBXD_CARTILAGE_V2,ILM4200575,Irgq,"immunity-related GTPase family, Q; exon 4",exon 4,N/A,7,24.534379,"AF322649, FKSG27, IRGQ1, Irgq1",210146,N/A,Mm.41108,+,5.0,50.0,24.534379,24.534429,1,109.631744,rs3685919,11.5109689760788,0.187,6.457681414222224,6.71438,,7.0218,,x,x,x,x,7.30048,,x,x,6.36711,,6.37697,,6.35178,,5.04485,,6.35104,,x,x,x,x,x,x,6.82356,,6.70512,,x,x,x,x,7.08646,,6.37175,
37,https://genenetwork.org/show_trait?trait_id=ILM2260047&dataset=UCLA_BXHBXD_CARTILAGE,mouse,BXH,UCLA_BXHBXD_CARTILAGE,ILM2260047,Irgq,"immunity-related GTPase family, Q; 3' UTR",3' UTR,N/A,7,24.538391,"AF322649, FKSG27, IRGQ1, Irgq1",210146,N/A,Mm.41108,+,5.0,50.0,24.538391,24.538441,,,D13MIt77,11.727378156870198,0.093,8.242343051519999,8.17764,,8.15434,,x,x,x,x,8.38498,,x,x,8.60325,,8.54606,,x,x,8.30977,,8.30113,,x,x,x,x,x,x,8.23299,,8.37583,,x,x,x,x,8.3444,,8.1494,
